Accident_ID,Junction_ID,Junction_Name,City,State,Year,Accident_Severity,Fatalities,Injuries,Weather_Conditions,Road_Type,Vehicle_Types_Involved
ACC-200080,JNC-HYD-005,Panjagutta Junction,Hyderabad,Telangana,2020,Minor,0,1,Heavy Rain,Urban Intersection,Motorcycle & Car
ACC-200081,JNC-DEL-002,ITO Crossing,New Delhi,Delhi,2023,Serious,0,1,Clear,Urban Intersection,Motorcycle & Car
ACC-200082,JNC-HYD-005,Panjagutta Junction,Hyderabad,Telangana,2022,Minor,0,0,Heavy Rain,4-Lane Highway Merge,Auto-rickshaw & Bus
ACC-200083,JNC-PNQ-007,Chandani Chowk Junction,Pune,Maharashtra,2021,Serious,0,1,Clear,Urban Intersection,Motorcycle & Car
ACC-200084,JNC-BLR-001,Silk Board Junction,Bengaluru,Karnataka,2022,Fatal,1,4,Monsoon Pour,4-Lane Highway Merge,Auto-rickshaw & Bus
ACC-200085,JNC-MUM-003,Dadar TT Circle,Mumbai,Maharashtra,2021,Fatal,3,0,Clear,Roundabout,Motorcycle & Bus
ACC-200086,JNC-MAA-004,Kathipara Junction,Chennai,Tamil Nadu,2023,Serious,0,3,Clear,Flyover Exit,Motorcycle & Car
ACC-200087,JNC-PNQ-007,Chandani Chowk Junction,Pune,Maharashtra,2023,Serious,0,1,Clear,Flyover Exit,Auto-rickshaw & Bus
ACC-200088,JNC-MUM-003,Dadar TT Circle,Mumbai,Maharashtra,2019,Serious,0,1,Monsoon Pour,Flyover Exit,Car & Truck
ACC-200089,JNC-MAA-004,Kathipara Junction,Chennai,Tamil Nadu,2018,Serious,0,1,Fog / Mist,Flyover Exit,Pedestrian & Motorcycle
ACC-200090,JNC-BLR-001,Silk Board Junction,Bengaluru,Karnataka,2020,Minor,0,1,Clear,4-Lane Highway Merge,Motorcycle & Bus
ACC-200091,JNC-DEL-002,ITO Crossing,New Delhi,Delhi,2023,Minor,0,0,Clear,Flyover Exit,Motorcycle & Bus
ACC-200092,JNC-HYD-005,Panjagutta Junction,Hyderabad,Telangana,2019,Minor,0,0,Clear,Urban Intersection,Motorcycle & Bus
ACC-200093,JNC-PNQ-007,Chandani Chowk Junction,Pune,Maharashtra,2020,Serious,0,1,Clear,Roundabout,Motorcycle & Bus
ACC-200094,JNC-BLR-001,Silk Board Junction,Bengaluru,Karnataka,2023,Minor,0,0,Monsoon Pour,Urban Intersection,Car & Truck
ACC-200095,JNC-MUM-003,Dadar TT Circle,Mumbai,Maharashtra,2022,Minor,0,1,Fog / Mist,4-Lane Highway Merge,Pedestrian & Motorcycle
ACC-200096,JNC-MUM-003,Dadar TT Circle,Mumbai,Maharashtra,2023,Serious,0,1,Heavy Rain,Urban Intersection,Motorcycle & Bus
ACC-200097,JNC-MAA-004,Kathipara Junction,Chennai,Tamil Nadu,2019,Serious,0,3,Heavy Rain,Urban Intersection,Car & Car
ACC-200098,JNC-HYD-005,Panjagutta Junction,Hyderabad,Telangana,2020,Serious,0,1,Heavy Rain,4-Lane Highway Merge,Car & Car
ACC-200099,JNC-BLR-006,Goraguntepalya Junction,Bengaluru,Karnataka,2018,Serious,0,3,Clear,Roundabout,Pedestrian & Motorcycle
ACC-200100,JNC-MAA-004,Kathipara Junction,Chennai,Tamil Nadu,2019,Minor,0,0,Clear,Flyover Exit,Motorcycle & Car
ACC-200101,JNC-DEL-002,ITO Crossing,New Delhi,Delhi,2019,Serious,0,3,Clear,Roundabout,Motorcycle & Car
ACC-200102,JNC-DEL-002,ITO Crossing,New Delhi,Delhi,2023,Serious,0,3,Clear,Roundabout,Motorcycle & Car
ACC-200103,JNC-BLR-006,Goraguntepalya Junction,Bengaluru,Karnataka,2022,Minor,0,1,Monsoon Pour,Urban Intersection,Motorcycle & Bus
ACC-200104,JNC-DEL-002,ITO Crossing,New Delhi,Delhi,2022,Minor,0,0,Clear,Urban Intersection,Car & Truck
ACC-200105,JNC-MUM-003,Dadar TT Circle,Mumbai,Maharashtra,2020,Fatal,1,2,Clear,Flyover Exit,Auto-rickshaw & Bus
ACC-200106,JNC-BLR-001,Silk Board Junction,Bengaluru,Karnataka,2018,Minor,0,0,Clear,Flyover Exit,Motorcycle & Car
ACC-200107,JNC-MAA-004,Kathipara Junction,Chennai,Tamil Nadu,2020,Fatal,1,1,Clear,4-Lane Highway Merge,Car & Car
ACC-200108,JNC-BLR-001,Silk Board Junction,Bengaluru,Karnataka,2018,Serious,0,2,Fog / Mist,4-Lane Highway Merge,Car & Car
ACC-200109,JNC-DEL-002,ITO Crossing,New Delhi,Delhi,2020,Fatal,1,0,Heavy Rain,Flyover Exit,Car & Car
ACC-200110,JNC-BLR-001,Silk Board Junction,Bengaluru,Karnataka,2022,Fatal,1,0,Heavy Rain,Flyover Exit,Car & Car
ACC-200111,JNC-BLR-001,Silk Board Junction,Bengaluru,Karnataka,2021,Serious,0,2,Heavy Rain,Urban Intersection,Car & Truck
ACC-200112,JNC-DEL-002,ITO Crossing,New Delhi,Delhi,2020,Minor,0,1,Heavy Rain,Flyover Exit,Pedestrian & Motorcycle
ACC-200113,JNC-BLR-006,Goraguntepalya Junction,Bengaluru,Karnataka,2023,Serious,0,3,Clear,Roundabout,Pedestrian & Motorcycle
ACC-200114,JNC-BLR-001,Silk Board Junction,Bengaluru,Karnataka,2018,Minor,0,1,Clear,Flyover Exit,Motorcycle & Bus
ACC-200115,JNC-BLR-006,Goraguntepalya Junction,Bengaluru,Karnataka,2021,Serious,0,2,Heavy Rain,4-Lane Highway Merge,Motorcycle & Car
ACC-200116,JNC-BLR-001,Silk Board Junction,Bengaluru,Karnataka,2023,Serious,0,1,Heavy Rain,Urban Intersection,Motorcycle & Bus
ACC-200117,JNC-DEL-002,ITO Crossing,New Delhi,Delhi,2021,Serious,0,2,Clear,Roundabout,Pedestrian & Motorcycle
ACC-200118,JNC-DEL-002,ITO Crossing,New Delhi,Delhi,2018,Serious,0,2,Clear,Urban Intersection,Auto-rickshaw & Bus
ACC-200119,JNC-BLR-006,Goraguntepalya Junction,Bengaluru,Karnataka,2023,Serious,0,3,Clear,4-Lane Highway Merge,Car & Truck
ACC-200120,JNC-MUM-003,Dadar TT Circle,Mumbai,Maharashtra,2022,Minor,0,0,Fog / Mist,Flyover Exit,Auto-rickshaw & Bus
ACC-200121,JNC-BLR-006,Goraguntepalya Junction,Bengaluru,Karnataka,2023,Minor,0,1,Clear,Roundabout,Car & Car
ACC-200122,JNC-BLR-006,Goraguntepalya Junction,Bengaluru,Karnataka,2020,Serious,0,3,Fog / Mist,4-Lane Highway Merge,Car & Car
ACC-200123,JNC-PNQ-007,Chandani Chowk Junction,Pune,Maharashtra,2021,Serious,0,1,Heavy Rain,Flyover Exit,Motorcycle & Bus
ACC-200124,JNC-MAA-004,Kathipara Junction,Chennai,Tamil Nadu,2023,Serious,0,3,Monsoon Pour,4-Lane Highway Merge,Car & Truck
ACC-200125,JNC-MUM-003,Dadar TT Circle,Mumbai,Maharashtra,2023,Serious,0,2,Clear,Urban Intersection,Auto-rickshaw & Bus
ACC-200126,JNC-BLR-001,Silk Board Junction,Bengaluru,Karnataka,2019,Fatal,3,4,Clear,4-Lane Highway Merge,Car & Truck
ACC-200127,JNC-MUM-003,Dadar TT Circle,Mumbai,Maharashtra,2023,Serious,0,2,Clear,4-Lane Highway Merge,Car & Car
ACC-200128,JNC-HYD-005,Panjagutta Junction,Hyderabad,Telangana,2019,Fatal,3,0,Clear,Roundabout,Car & Truck
ACC-200129,JNC-BLR-006,Goraguntepalya Junction,Bengaluru,Karnataka,2023,Fatal,1,2,Heavy Rain,Urban Intersection,Auto-rickshaw & Bus
ACC-200130,JNC-BLR-001,Silk Board Junction,Bengaluru,Karnataka,2022,Fatal,3,2,Heavy Rain,Urban Intersection,Auto-rickshaw & Bus
ACC-200131,JNC-DEL-002,ITO Crossing,New Delhi,Delhi,2019,Serious,0,3,Heavy Rain,Flyover Exit,Car & Truck
ACC-200132,JNC-MAA-004,Kathipara Junction,Chennai,Tamil Nadu,2018,Minor,0,0,Heavy Rain,4-Lane Highway Merge,Motorcycle & Bus
ACC-200133,JNC-DEL-002,ITO Crossing,New Delhi,Delhi,2019,Serious,0,3,Clear,Urban Intersection,Car & Car
ACC-200134,JNC-DEL-002,ITO Crossing,New Delhi,Delhi,2020,Serious,0,3,Fog / Mist,4-Lane Highway Merge,Auto-rickshaw & Bus
ACC-200135,JNC-HYD-005,Panjagutta Junction,Hyderabad,Telangana,2020,Minor,0,1,Heavy Rain,4-Lane Highway Merge,Pedestrian & Motorcycle
ACC-200136,JNC-HYD-005,Panjagutta Junction,Hyderabad,Telangana,2018,Fatal,2,1,Heavy Rain,Roundabout,Motorcycle & Car
ACC-200137,JNC-DEL-002,ITO Crossing,New Delhi,Delhi,2023,Serious,0,3,Fog / Mist,Flyover Exit,Auto-rickshaw & Bus
ACC-200138,JNC-DEL-002,ITO Crossing,New Delhi,Delhi,2022,Serious,0,1,Clear,Flyover Exit,Pedestrian & Motorcycle
ACC-200139,JNC-HYD-005,Panjagutta Junction,Hyderabad,Telangana,2020,Minor,0,1,Heavy Rain,Roundabout,Pedestrian & Motorcycle
ACC-200140,JNC-BLR-006,Goraguntepalya Junction,Bengaluru,Karnataka,2023,Minor,0,1,Clear,Roundabout,Motorcycle & Car
ACC-200141,JNC-BLR-006,Goraguntepalya Junction,Bengaluru,Karnataka,2021,Minor,0,1,Clear,4-Lane Highway Merge,Motorcycle & Bus
ACC-200142,JNC-BLR-001,Silk Board Junction,Bengaluru,Karnataka,2021,Serious,0,1,Monsoon Pour,Flyover Exit,Motorcycle & Car
ACC-200143,JNC-HYD-005,Panjagutta Junction,Hyderabad,Telangana,2019,Fatal,3,4,Clear,4-Lane Highway Merge,Car & Car
ACC-200144,JNC-BLR-006,Goraguntepalya Junction,Bengaluru,Karnataka,2018,Fatal,1,1,Fog / Mist,Urban Intersection,Motorcycle & Bus
ACC-200145,JNC-DEL-002,ITO Crossing,New Delhi,Delhi,2023,Serious,0,3,Clear,4-Lane Highway Merge,Pedestrian & Motorcycle
ACC-200146,JNC-DEL-002,ITO Crossing,New Delhi,Delhi,2021,Minor,0,1,Clear,Roundabout,Auto-rickshaw & Bus
ACC-200147,JNC-MUM-003,Dadar TT Circle,Mumbai,Maharashtra,2020,Minor,0,0,Clear,Urban Intersection,Car & Truck
ACC-200148,JNC-MUM-003,Dadar TT Circle,Mumbai,Maharashtra,2020,Fatal,3,2,Clear,4-Lane Highway Merge,Auto-rickshaw & Bus
ACC-200149,JNC-DEL-002,ITO Crossing,New Delhi,Delhi,2018,Serious,0,3,Clear,Urban Intersection,Auto-rickshaw & Bus
ACC-200150,JNC-BLR-001,Silk Board Junction,Bengaluru,Karnataka,2018,Fatal,1,0,Heavy Rain,Urban Intersection,Auto-rickshaw & Bus
ACC-200151,JNC-MUM-003,Dadar TT Circle,Mumbai,Maharashtra,2018,Serious,0,1,Clear,Roundabout,Car & Truck
ACC-200152,JNC-HYD-005,Panjagutta Junction,Hyderabad,Telangana,2023,Fatal,1,0,Clear,Urban Intersection,Car & Truck
ACC-200153,JNC-BLR-001,Silk Board Junction,Bengaluru,Karnataka,2023,Minor,0,1,Clear,Flyover Exit,Motorcycle & Bus
ACC-200154,JNC-DEL-002,ITO Crossing,New Delhi,Delhi,2023,Minor,0,1,Clear,4-Lane Highway Merge,Car & Truck
ACC-200155,JNC-DEL-002,ITO Crossing,New Delhi,Delhi,2019,Minor,0,1,Clear,Roundabout,Auto-rickshaw & Bus
ACC-200156,JNC-BLR-006,Goraguntepalya Junction,Bengaluru,Karnataka,2022,Serious,0,1,Clear,Flyover Exit,Car & Truck
ACC-200157,JNC-MUM-003,Dadar TT Circle,Mumbai,Maharashtra,2023,Serious,0,1,Clear,4-Lane Highway Merge,Auto-rickshaw & Bus
ACC-200158,JNC-BLR-001,Silk Board Junction,Bengaluru,Karnataka,2019,Minor,0,1,Heavy Rain,Flyover Exit,Car & Car
ACC-200159,JNC-BLR-006,Goraguntepalya Junction,Bengaluru,Karnataka,2021,Minor,0,1,Clear,Roundabout,Motorcycle & Car
ACC-200160,JNC-BLR-001,Silk Board Junction,Bengaluru,Karnataka,2018,Fatal,3,4,Fog / Mist,4-Lane Highway Merge,Auto-rickshaw & Bus
ACC-200161,JNC-HYD-005,Panjagutta Junction,Hyderabad,Telangana,2018,Minor,0,1,Clear,Roundabout,Motorcycle & Car
ACC-200162,JNC-DEL-002,ITO Crossing,New Delhi,Delhi,2021,Minor,0,0,Clear,Urban Intersection,Motorcycle & Bus
ACC-200163,JNC-DEL-002,ITO Crossing,New Delhi,Delhi,2021,Fatal,2,3,Clear,Urban Intersection,Car & Car
ACC-200164,JNC-MUM-003,Dadar TT Circle,Mumbai,Maharashtra,2023,Serious,0,1,Clear,4-Lane Highway Merge,Car & Car
ACC-200165,JNC-HYD-005,Panjagutta Junction,Hyderabad,Telangana,2019,Serious,0,3,Clear,Urban Intersection,Car & Truck
ACC-200166,JNC-DEL-002,ITO Crossing,New Delhi,Delhi,2019,Serious,0,1,Heavy Rain,4-Lane Highway Merge,Car & Truck
ACC-200167,JNC-BLR-006,Goraguntepalya Junction,Bengaluru,Karnataka,2022,Minor,0,0,Clear,4-Lane Highway Merge,Pedestrian & Motorcycle
ACC-200168,JNC-MAA-004,Kathipara Junction,Chennai,Tamil Nadu,2019,Minor,0,0,Clear,4-Lane Highway Merge,Car & Truck
ACC-200169,JNC-BLR-006,Goraguntepalya Junction,Bengaluru,Karnataka,2023,Minor,0,1,Heavy Rain,4-Lane Highway Merge,Pedestrian & Motorcycle
ACC-200170,JNC-BLR-001,Silk Board Junction,Bengaluru,Karnataka,2022,Minor,0,0,Clear,Urban Intersection,Car & Car
ACC-200171,JNC-BLR-001,Silk Board Junction,Bengaluru,Karnataka,2021,Minor,0,0,Clear,Flyover Exit,Car & Truck
ACC-200172,JNC-BLR-001,Silk Board Junction,Bengaluru,Karnataka,2022,Minor,0,0,Clear,4-Lane Highway Merge,Car & Truck
ACC-200173,JNC-DEL-002,ITO Crossing,New Delhi,Delhi,2020,Minor,0,0,Heavy Rain,Urban Intersection,Car & Car
ACC-200174,JNC-HYD-005,Panjagutta Junction,Hyderabad,Telangana,2018,Serious,0,3,Clear,Roundabout,Auto-rickshaw & Bus
ACC-200175,JNC-BLR-001,Silk Board Junction,Bengaluru,Karnataka,2023,Minor,0,0,Clear,Urban Intersection,Motorcycle & Car
ACC-200176,JNC-BLR-001,Silk Board Junction,Bengaluru,Karnataka,2018,Serious,0,1,Clear,Roundabout,Motorcycle & Car
ACC-200177,JNC-MUM-003,Dadar TT Circle,Mumbai,Maharashtra,2020,Minor,0,0,Clear,Roundabout,Car & Car
ACC-200178,JNC-BLR-001,Silk Board Junction,Bengaluru,Karnataka,2021,Serious,0,3,Fog / Mist,4-Lane Highway Merge,Motorcycle & Bus
ACC-200179,JNC-PNQ-007,Chandani Chowk Junction,Pune,Maharashtra,2018,Fatal,2,2,Heavy Rain,4-Lane Highway Merge,Motorcycle & Bus
ACC-200180,JNC-MAA-004,Kathipara Junction,Chennai,Tamil Nadu,2023,Serious,0,1,Fog / Mist,Flyover Exit,Car & Truck
ACC-200181,JNC-PNQ-007,Chandani Chowk Junction,Pune,Maharashtra,2022,Serious,0,2,Heavy Rain,4-Lane Highway Merge,Motorcycle & Car
ACC-200182,JNC-MUM-003,Dadar TT Circle,Mumbai,Maharashtra,2019,Serious,0,3,Heavy Rain,4-Lane Highway Merge,Car & Truck
